dte,short_delta,strike_width,profit_target,stop_loss,dte_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
24,0.31,10,0.9,0.30000000000000004,5,150000,210934.37084701174,60934.37084701174,40.62291389800783,5.890464250659688,0.7280110443066257,0.7902710611695563,-11.289289286943252,0.5217745865961968,5.315032206351744,1251,964,287,77.05835331734612,154.4996670758078,-302.7602252527665,228.133417416791,-639.0570860882567,1.7140514957151378,15.7242206235012,48,71,67.6056338028169,3.119260568497695,-3.8513400381578577,0.4943912802592041,,0.5426030461661034,56
24,0.31,10,0.9,0.30000000000000004,5,150000,210934.37084701174,60934.37084701174,40.62291389800783,5.890464250659688,0.7280110443066257,0.7902710611695563,-11.289289286943252,0.5217745865961968,5.315032206351744,1251,964,287,77.05835331734612,154.4996670758078,-302.7602252527665,228.133417416791,-639.0570860882567,1.7140514957151378,15.7242206235012,48,71,67.6056338028169,3.119260568497695,-3.8513400381578577,0.4943912802592041,,0.5426030461661034,56
27,0.32999999999999996,10,0.9,0.30000000000000004,5,150000,215381.7603415612,65381.760341561196,43.58784022770747,6.262048022375777,0.7186613371763275,0.8089957247157352,-12.377065911785595,0.5059396198587727,5.919316952341141,1280,962,318,75.15625,168.38197536562174,-300.53485534386033,239.4735916756243,-555.2906641272249,1.6949180488617537,18.45625,47,71,66.19718309859155,3.721220870417996,-3.50928905616652,0.5294333653267564,,0.5596460710386647,78
27,0.35,10,0.9,0.30000000000000004,5,150000,215679.33159749475,65679.33159749475,43.7862210649965,6.2866817753929105,0.7109157890298733,0.812283926304942,-12.24673733057499,0.5133352341686704,6.025331134712616,1256,919,337,73.1687898089172,183.37345743910825,-302.8845698747884,265.3654235485426,-555.2906641272249,1.6509918705269802,18.53264331210191,48,71,67.6056338028169,3.8969296196246894,-4.056818841847143,0.5334844575785455,,0.5673509743949693,63
27,0.35,10,0.9,0.30000000000000004,5,150000,215679.33159749475,65679.33159749475,43.7862210649965,6.2866817753929105,0.7109157890298733,0.812283926304942,-12.24673733057499,0.5133352341686704,6.025331134712616,1256,919,337,73.1687898089172,183.37345743910825,-302.8845698747884,265.3654235485426,-555.2906641272249,1.6509918705269802,18.53264331210191,48,71,67.6056338028169,3.8969296196246894,-4.056818841847143,0.5334844575785455,,0.5673509743949693,63
27,0.35,10,0.9,0.30000000000000004,5,150000,215679.33159749475,65679.33159749475,43.7862210649965,6.2866817753929105,0.7109157890298733,0.812283926304942,-12.24673733057499,0.5133352341686704,6.025331134712616,1256,919,337,73.1687898089172,183.37345743910825,-302.8845698747884,265.3654235485426,-555.2906641272249,1.6509918705269802,18.53264331210191,48,71,67.6056338028169,3.8969296196246894,-4.056818841847143,0.5334844575785455,,0.5673509743949693,63
27,0.35,10,0.9,0.30000000000000004,5,150000,215679.33159749475,65679.33159749475,43.7862210649965,6.2866817753929105,0.7109157890298733,0.812283926304942,-12.24673733057499,0.5133352341686704,6.025331134712616,1256,919,337,73.1687898089172,183.37345743910825,-302.8845698747884,265.3654235485426,-555.2906641272249,1.6509918705269802,18.53264331210191,48,71,67.6056338028169,3.8969296196246894,-4.056818841847143,0.5334844575785455,,0.5673509743949693,63
24,0.32999999999999996,10,0.9,0.30000000000000004,5,150000,209682.70939079745,59682.70939079745,39.7884729271983,5.784711664179465,0.6971495994050145,0.7709227290967413,-11.598985309628116,0.4987256651991512,5.414481672697943,1230,926,304,75.28455284552845,166.93918567855226,-309.1514019487307,246.08377890080448,-639.0570860882567,1.6448430854411282,15.721951219512196,48,71,67.6056338028169,3.30105181148459,-3.531627718505004,0.4883546266912019,,0.5620609813618276,90
24,0.32999999999999996,10,0.9,0.30000000000000004,5,150000,209682.70939079745,59682.70939079745,39.7884729271983,5.784711664179465,0.6971495994050145,0.7709227290967413,-11.598985309628116,0.4987256651991512,5.414481672697943,1230,926,304,75.28455284552845,166.93918567855226,-309.1514019487307,246.08377890080448,-639.0570860882567,1.6448430854411282,15.721951219512196,48,71,67.6056338028169,3.30105181148459,-3.531627718505004,0.4883546266912019,,0.5620609813618276,90
24,0.32999999999999996,10,0.9,0.30000000000000004,5,150000,209682.70939079745,59682.70939079745,39.7884729271983,5.784711664179465,0.6971495994050145,0.7709227290967413,-11.598985309628116,0.4987256651991512,5.414481672697943,1230,926,304,75.28455284552845,166.93918567855226,-309.1514019487307,246.08377890080448,-639.0570860882567,1.6448430854411282,15.721951219512196,48,71,67.6056338028169,3.30105181148459,-3.531627718505004,0.4883546266912019,,0.5620609813618276,90
24,0.32999999999999996,10,0.9,0.30000000000000004,5,150000,209682.70939079745,59682.70939079745,39.7884729271983,5.784711664179465,0.6971495994050145,0.7709227290967413,-11.598985309628116,0.4987256651991512,5.414481672697943,1230,926,304,75.28455284552845,166.93918567855226,-309.1514019487307,246.08377890080448,-639.0570860882567,1.6448430854411282,15.721951219512196,48,71,67.6056338028169,3.30105181148459,-3.531627718505004,0.4883546266912019,,0.5620609813618276,90
24,0.31,15,0.9,0.30000000000000004,5,150000,222695.8581878439,72695.8581878439,48.4639054585626,6.859490520868272,0.6923329503303217,0.7303438006182511,-15.177092275495621,0.4519634193661295,7.062688855779517,1251,979,272,78.25739408473221,195.26661039125162,-432.0160697062108,294.42175989065134,-859.2304897080902,1.6268288804545092,15.666666666666666,46,71,64.7887323943662,4.549635445948552,-4.881691000904242,0.5808567439508323,,0.5610503984486562,53
21,0.35,10,0.9,0.30000000000000004,5,150000,207932.58621813488,57932.58621813488,38.62172414542325,5.63595994772228,0.6759959070028229,0.7450265555696636,-10.983037432738316,0.5131513010164721,5.372229286668143,1209,883,326,73.03556658395368,178.27166938034782,-301.8580277097159,263.7311118030832,-630.668494463647,1.5996416550622896,14.760132340777503,47,71,66.19718309859155,3.2010663097275627,-3.61495702271023,0.4762944963098748,,0.5728596143384207,49
21,0.35,10,0.9,0.30000000000000004,5,150000,207932.58621813488,57932.58621813488,38.62172414542325,5.63595994772228,0.6759959070028229,0.7450265555696636,-10.983037432738316,0.5131513010164721,5.372229286668143,1209,883,326,73.03556658395368,178.27166938034782,-301.8580277097159,263.7311118030832,-630.668494463647,1.5996416550622896,14.760132340777503,47,71,66.19718309859155,3.2010663097275627,-3.61495702271023,0.4762944963098748,,0.5728596143384207,49
24,0.35,10,0.8,0.30000000000000004,5,150000,207000.4850164071,57000.485016407096,38.0003233442714,5.556310348549354,0.6644620849929286,0.7531659645702459,-10.936770098352607,0.5080394210157434,5.349975028098021,1225,909,316,74.20408163265306,169.94274111292623,-304.50454871210763,262.9203153932366,-630.668494463647,1.6054087845633962,14.0,46,71,64.7887323943662,3.2848577316047622,-3.7833428640292266,0.46954368472085234,,0.5567398477878979,81
24,0.35,10,0.8,0.30000000000000004,5,150000,207000.4850164071,57000.485016407096,38.0003233442714,5.556310348549354,0.6644620849929286,0.7531659645702459,-10.936770098352607,0.5080394210157434,5.349975028098021,1225,909,316,74.20408163265306,169.94274111292623,-304.50454871210763,262.9203153932366,-630.668494463647,1.6054087845633962,14.0,46,71,64.7887323943662,3.2848577316047622,-3.7833428640292266,0.46954368472085234,,0.5567398477878979,81
